,Aka,Bethlehem,Dura,Haifa,Halhoul,Hebron,Jenin,Jericho,Jerusalem,Nablus,Nazareth,Qalqilya,Ramallah,Ramleh,Sabastia,Safad,Salfit,Tubas,Tulkarm,Yafa
Aka,0,"132km,181km","158km,209km","15km,35km,25km","150km,199km","155km,210km","56km,75km","125km,192km","130km,169km","102km,112km","33km,41km","82km,106km","111km,159km","113km,170km","74km,101km","40km,54km,47km","94km,1 44km","73km,93km","69km,87km","98km,121km"
Bethlehem,"132km,181km",0,"32km,47km","121km,153km","17km,43km,30km","22km,45km,34km","122km,114km","29km,41km,35km","7km,9km,8k","77km,79km","107km,145km","122km,136km","30km,106km","39km,177km","59km,79km","139km,185km","38km,55km","66km,98km","111km,145km","55km,71km"
Dura,"158km,209km","32km,47km",0,"146km,189km","11km,40km","7km,11km,9km","109km,160km","57km,90km","34km,55km","63km,125km","135km,191km","77km,127km","54km,71km","49km,225km","87km,133km","169km,231km","66km,101km","96km,145km","89km,136km","68km,103km"
Haifa,"15km,35km,25km","121km,153km","146km,189km",0,"138km,165km","144km,182km","49km,118km,84km","116km,168km","119km,145km","93km,96km","32km,60km,46km","69km,83km","101km,135km","100km,105km","63km,85km","50km,72km","84km,120km","66km,80km","57km,70km","84km,97km"
Halhoul,"150km,199km","17km,43km,30km","11km,40km","138km,165km",0,"5km,8km,6km","100km,139km","46km,68km","24km,33km","53km,103km","126km,169km","69km,103km","44km,50km","45km,62km","78km,111km","159km,210km","57km,79km","86km,123km","82km,111km","63km,79km"
Hebron,"155km,210km","22km,45km,34km","7km,11km,9km","144km,182km","5km,8km,6km",0,"109km,152km","70km,82km","34km,46km","101km,177km","131km,183km","146km,190km","54km,63km","49km,78km","83km,124km","165km,223km","62km,92km","92km,136km","134km,145km","68km,95km"
Jenin,"56km,75km","122km,114km","109km,160km","49km,118km,84km","100km,139km","109km,152km",0,"109km,124km","112km,127km","43km,50km","27km,41km,34km","63km,64km","93km,95km","72km,90km","23km,34km,29km","60km,75km","43km,63km","17km,30km,24km","52km,68km","64km,84km"
Jericho,"125km,192km","29km,41km,35km","57km,90km","116km,168km","46km,68km","70km,82km","109km,124km",0,"38km,40km","44km,130km,87km","95km,137km","102km,107km","20km,53km,37km","57km,74km","53km,96km","124km,166km","37km,69km","52km,108km","99km,112km","69km,90km"
Jerusalem,"130km,169km","7km,9km,8km","34km,55km","119km,145km","24km,33km","34km,46km","112km,127km","38km,40km",0,"67km,71km","104km,137km","105km,107km","21km,21km,21km","38km,45km,42km","56km,79km","136km,178km","35km,47km","63km,91km","99km,105km","54km,66km"
